ticker,company_name,current_price,manager_count,managers,total_value,avg_portfolio_pct,total_shares,max_portfolio_pct,recent_buys,latest_buy_quarter,price_opportunity_score,price_category,_analysis_type,_generated,_periods,_window_quarters
RIG,Transocean Ltd.,6.22,2,"Arnold Van Den Berg, Mohnish Pabrai",99838000,15.28,20416924,30.53,2.0,Q4 2025,21.275,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
VFC,V.F. Corp.,13.22,2,"Glenn Welling, Dodge & Cox Funds",449160000,11.78,26928069,23.36,1.0,Q1 2026,16.78,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
XRAY,DENTSPLY SIRONA Inc.,11.29,2,"Alex Roepers, John Rogers",108531000,6.52,10229107,12.18,7.0,Q4 2025,17.515,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
MAT,Mattel Inc.,14.64,2,"Mason Hawkins, John Rogers",385010000,5.52,27738510,8.92,5.0,Q4 2025,14.525,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
FLG,Flagstar Financial Inc.,13.49,2,"Kahn Brothers Group, Third Avenue Management",65825000,5.2,4405961,9.62,2.0,Q4 2025,11.205,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
QXO,Qxo Inc,13.22,2,"Samantha McLemore, Harry Burn",213150000,3.43,12335070,4.1,7.0,Q4 2025,14.435,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CCC,CCC Intelligent Solutions Hldgs Inc.,7.18,2,"Chuck Akre, Triple Frond Partners",182003000,2.76,35271971,3.02,5.0,Q4 2025,11.755,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CRGY,Crescent Energy Inc A,14.27,2,"Bill Miller, Arnold Van Den Berg",22793000,2.66,2321117,4.86,5.0,Q4 2025,11.665,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
MBI,MBIA Inc.,4.76,2,"Kahn Brothers Group, Francis Chou",29568000,2.66,4534920,4.34,2.0,Q2 2026,8.655,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AAL,American Airlines Group Inc.,13.11,2,"David Tepper, Harry Burn",243093000,2.56,13452846,3.31,4.0,Q4 2025,10.56,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
MIR,Mirion Technologies Inc,15.57,2,"Lee Ainslie, Leon Cooperman",244359000,2.54,13628480,4.24,3.0,Q4 2025,9.545,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
TDAY,Gannett Co.,6.3,2,"Bill Miller, Leon Cooperman",65604000,2.17,7673041,2.83,3.0,Q4 2025,9.17,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
WULF,Terawulf Inc,14.82,2,"Stephen Mandel, Polen Capital Management",610282000,1.88,24707764,3.65,4.0,Q2 2026,9.885,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
STLA,Stellantis N.V.,5.27,2,"Ruane Cunniff LP, Francis Chou",8147000,1.84,1419269,3.69,3.0,Q4 2025,8.844999999999999,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
SDHC,Smith Douglas Homes Corp,11.1,2,"Ruane Cunniff LP, Greg Alexander",22698000,1.84,1460625,3.67,6.0,Q4 2025,11.84,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AERO,Grupo Aeromexico Sab De Cv,14.78,2,"Howard Marks, Seth Klarman",159279000,1.76,8848874,1.89,4.0,Q4 2025,9.755,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
WSC,WillScot Mobile Mini Hldgs Corp.,19.58,2,"Leon Cooperman, Polen Capital Management",117323000,1.64,4065245,3.28,1.0,Q2 2026,6.645,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
PENN,Penn National Gaming Inc.,16.89,2,"David Einhorn, Prem Watsa",126349000,1.62,5915170,3.2,1.0,Q1 2026,6.62,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
PCG,PG&E Corp.,13.33,2,"David Einhorn, First Pacific Advisors",131290000,1.55,7805547,2.85,4.0,Q4 2025,9.55,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
JBS,Jbs Nv A,13.54,2,"Dodge & Cox Funds, Christopher Davis",593489000,1.27,50083486,2.54,6.0,Q4 2025,11.27,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
TRIP,TripAdvisor Inc.,9.61,2,"Mason Hawkins, David Einhorn",63347000,1.23,4620439,1.62,5.0,Q4 2025,10.225,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CPRI,Capri Holdings Ltd,12.71,2,"David Einhorn, Prem Watsa",90959000,1.17,4898218,2.29,2.0,Q4 2025,7.17,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
COTY,Coty Inc.,2.9,2,"Bill Miller, Lee Ainslie",10633000,1.01,4923022,2.0,2.0,Q2 2026,7.01,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
